ProductName,Category,SubCategory,Revenue,NetRevenue,Profit,UnitsSold,ReturnRate,AvgMargin
Product_73,Clothing,C,145624.75,120521.69069999999,35074.77277965786,499,0.1076923076923077,0.30952498918909893
Product_140,Food,B,145494.41,123301.0975,38785.077917432674,534,0.0625,0.320929415880887
Product_71,Food,D,145356.51,121255.769,40532.00041792182,489,0.13846153846153847,0.32186127374527745
Product_51,Beauty,D,145190.6,121250.13,41159.53377391881,540,0.06060606060606061,0.33056289799396393
Product_58,Beauty,C,144976.09,121831.2501,41611.3223295132,543,0.06944444444444445,0.33557406319716665
Product_54,Home,B,144367.3,121402.3842,37412.67965077273,507,0.047619047619047616,0.32357514422963707
Product_6,Clothing,D,143785.53,121461.6873,41448.0357715001,511,0.06060606060606061,0.33352512430197573
Product_32,Clothing,B,143227.39,122062.095,40321.82693159967,538,0.08196721311475409,0.33234183588709404
Product_156,Clothing,A,142267.89,119568.5259,35884.303543001035,501,0.06779661016949153,0.3063751438005954
Product_168,Electronics,D,142159.26,120324.2678,36245.55645927853,480,0.12307692307692308,0.3068186764726892
Product_127,Home,A,141989.66999999998,119753.683,38102.75324487118,535,0.09375,0.32654723636357125
Product_171,Clothing,A,141860.95,120372.86660000001,40920.34389423247,575,0.04225352112676056,0.3347508786081364
Product_57,Home,B,141476.82,119665.9959,39582.020242259954,539,0.06153846153846154,0.3258524171703048
Product_47,Beauty,D,141003.73,118414.0685,38815.96756812182,538,0.11764705882352941,0.32844267171681957
Product_21,Electronics,A,140889.29,120050.2131,37705.60534389977,510,0.09375,0.3117843812371497
Product_178,Clothing,C,140580.8,118692.6073,37510.62658875819,496,0.13114754098360656,0.3117194292968457
Product_138,Home,D,140531,116811.8996,36092.89861570213,488,0.07936507936507936,0.3130389066391631
Product_49,Electronics,C,139874.76,116488.9804,38708.04559706218,547,0.08695652173913043,0.33117859706445973
Product_96,Home,B,139769.13,119023.2547,40543.8727152549,536,0.09230769230769231,0.33785211604682425
Product_15,Food,B,139578.08,119375.928,43225.59879896829,511,0.031746031746031744,0.3456225726358964
Product_135,Beauty,C,139491.69,119661.2355,37085.18488241366,495,0.06060606060606061,0.3106147906013031
Product_186,Clothing,B,139485.48,118349.1875,36728.62371568401,503,0.08196721311475409,0.3153174747663241
Product_50,Food,C,139475.95,118829.9996,38403.36733800677,491,0.11290322580645161,0.3413223597091897
Product_196,Clothing,A,139393.85,122086.4576,42702.70334033146,488,0.04918032786885246,0.3454011671839884
Product_83,Food,D,139250.5,114595.7104,38815.196182950145,467,0.16363636363636364,0.3320231674146036
Product_84,Food,D,139224.49,117938.9176,38890.45590162162,487,0.07462686567164178,0.33724298006899894
Product_60,Clothing,B,138725.14,118241.8937,36633.531693368925,519,0.09230769230769231,0.3126656403982131
Product_17,Clothing,A,138508.54,117933.3768,40698.21927527989,473,0,0.33881835052550235
Product_168,Clothing,B,138441.84,118387.9216,41965.819017716,494,0.1076923076923077,0.3494298009265383
Product_158,Beauty,B,138360.21,118298.2055,37255.537958387344,531,0.09523809523809523,0.33307280193557015
Product_153,Food,C,138042.03,119148.0944,40978.134623186044,496,0.03225806451612903,0.34334126069019966
Product_165,Beauty,A,137244.85,113893.7988,38075.711544475744,502,0.05970149253731343,0.33705375879259464
Product_43,Beauty,B,136986.65,113316.74250000001,39923.071441425636,473,0.07017543859649122,0.34801626616847386
Product_179,Clothing,A,136955.62,116454.0067,34412.6806820918,497,0.11666666666666667,0.30977853816522954
Product_87,Clothing,D,136535.59,114501.18639999999,35825.11859108781,469,0.05263157894736842,0.31287303880872
Product_122,Electronics,A,136071.5,117710.0758,40121.51093207038,473,0.1206896551724138,0.33592378562765945
Product_8,Food,B,135937.01,114602.8051,37499.57666307284,477,0.08620689655172414,0.32459259816545394
Product_161,Electronics,C,135886.25,114966.7418,37694.26666236248,498,0.18333333333333332,0.33019052879975774
Product_27,Beauty,C,135875.1,115881.5387,33964.92103635036,518,0.03125,0.31171840543560414
Product_3,Beauty,A,135695.48,114312.18,37162.250546699936,509,0.03278688524590164,0.3263330988775214
Product_123,Clothing,B,135345.11,117298.1474,39157.123672271366,526,0.14705882352941177,0.33785401880350785
Product_173,Beauty,C,135229.5,116355.3754,38463.24258221427,482,0.034482758620689655,0.3304842840339854
Product_105,Beauty,A,135034.27,113020.9252,37565.516755494566,499,0.016129032258064516,0.33430827659610374
Product_63,Clothing,A,134991.85,113052.1321,35854.703398215235,502,0.07575757575757576,0.33556313241723634
Product_62,Home,D,134977.18,113368.3637,35382.975007779285,477,0.09836065573770492,0.32251718289854897
Product_65,Clothing,C,134954.72,114478.70509999999,36109.669166085114,527,0.203125,0.31751337685221814
Product_88,Clothing,B,134792.49,115527.86349999999,36831.15595899536,465,0.06666666666666667,0.32341925255482185
Product_82,Food,A,134716.67,114696.4693,37638.08456673068,512,0.078125,0.3327602266746359
Product_111,Beauty,D,134450.12,115654.5064,41789.16343050812,515,0.045454545454545456,0.3528105377099497
Product_41,Electronics,C,134159.41,112489.2949,37340.4704344129,448,0.034482758620689655,0.3272839707864651
Product_156,Beauty,A,134139.67,114506.8992,35162.6985371001,499,0.07936507936507936,0.3066245948366153
Product_126,Home,D,133754.25,114959.9785,37141.11020814655,502,0.07936507936507936,0.31230758958181853
Product_131,Electronics,B,133746.19,114972.8942,36082.93051372662,538,0.03125,0.324694970389324
Product_105,Food,C,133531.74,112282.804,35801.41222863431,475,0.08695652173913043,0.31780339684713077
Product_172,Food,A,133386.27,115719.7733,35458.39108617055,497,0.09523809523809523,0.31670558811222377
Product_54,Food,D,133304.11,110379.2556,36717.42447578931,520,0.031746031746031744,0.3301752377038476
Product_66,Electronics,D,132971.37,111721.8803,37462.97665578626,509,0.12307692307692308,0.3302259925763526
Product_181,Home,D,132893.47,110955.1653,36208.988759770975,431,0.11320754716981132,0.32852671110003984
Product_120,Clothing,C,132790.88999999998,115799.6332,39705.46863957569,488,0.031746031746031744,0.34097183425972244
Product_15,Home,A,132677.87,114989.7204,35001.48079637218,543,0.07575757575757576,0.3250093444433681
Product_120,Food,A,132601.86000000002,113455.7128,36102.70195107736,437,0.1016949152542373,0.32898429641927934
Product_149,Home,C,132599.18,111934.785,37955.487860561436,551,0.12121212121212122,0.3392173879855066
Product_113,Beauty,C,132380.87,112809.4824,33866.690308769066,479,0.06666666666666667,0.3097864420274868
Product_106,Clothing,D,132305.03,116153.3271,36611.22941538036,412,0.08163265306122448,0.3235495883286384
Product_117,Home,C,132247.21,113242.6147,36294.73481015413,451,0.08333333333333333,0.31650164751351473
Product_146,Clothing,B,132222.01,113283.8978,33384.280928694185,524,0.015384615384615385,0.31813362041135446
Product_103,Beauty,D,132218.86,111870.1955,37263.02025657301,520,0.07575757575757576,0.3416918284933384
Product_198,Electronics,D,131886.59,113790.37629999999,36569.01654563245,518,0.08333333333333333,0.3217276825762889
Product_81,Home,A,131871.5,109419.1707,33290.09603766454,553,0.10144927536231885,0.3049460784916377
Product_90,Home,A,131689.63,113353.9327,31999.01300934304,483,0.09523809523809523,0.31006281511183736
Product_104,Food,B,131588.05,114101.3592,32976.6658997276,438,0.08928571428571429,0.3113130067272324
Product_14,Beauty,A,131567.41,111641.0575,35291.690485152394,472,0.08928571428571429,0.3278263841422769
Product_99,Clothing,D,131525.35,111373.8321,39402.95204966951,476,0.07692307692307693,0.3694091949179606
Product_146,Home,C,131498.61,111886.456,38084.14608450742,509,0.09375,0.3344013015093375
Product_15,Beauty,A,131448.92,111190.1971,36667.266014420304,484,0.08064516129032258,0.3291720278563568
Product_190,Electronics,B,131384.64,112564.8026,38578.940759582154,540,0.10294117647058823,0.3359955914117626
Product_122,Clothing,B,131333.13999999998,109486.4702,35121.14226253927,481,0.06666666666666667,0.3296847634409429
Product_70,Home,B,131310.78,112436.8883,35750.06929260263,556,0.16129032258064516,0.30881098951722247
Product_105,Clothing,D,131243.53,112749.912,37883.9766554516,486,0.06896551724137931,0.32913900104743876
Product_90,Electronics,C,131135.16,110754.3512,34401.79256450288,492,0.09230769230769231,0.3355522230319963
Product_123,Clothing,D,130928.75,109270.1464,33940.37553103583,479,0.10344827586206896,0.31967900676165106
Product_78,Clothing,B,130902.65,110547.6449,35448.0236987843,506,0.057971014492753624,0.3257509973680027
Product_74,Clothing,C,130842.99,114682.2194,36431.14911202187,499,0.078125,0.32224962098596827
Product_24,Clothing,D,130728.85,108700.1652,37951.84472757597,504,0.046875,0.3372684151712983
Product_160,Food,A,130716.84,110693.06139999999,32685.317870228904,408,0.10204081632653061,0.31764118168928435
Product_23,Electronics,D,130703.09,110661.78600000001,35504.90552923171,465,0.11290322580645161,0.32725174980958643
Product_11,Food,B,130353.16,111097.145,36623.02450918406,505,0.05,0.33421841897853466
Product_96,Clothing,C,130304.19,111702.5092,40236.47479642263,468,0.08196721311475409,0.34985527120380644
Product_118,Beauty,D,130300.2,109633.3916,38335.90295717103,396,0.07692307692307693,0.32657221425270305
Product_88,Home,D,130204.08,111743.49429999999,37667.03785341859,540,0.13846153846153847,0.3342054019210064
Product_119,Clothing,D,130191.86,111100.6538,34572.00439586032,443,0.0967741935483871,0.31479992565156556
Product_16,Electronics,D,130152.29,113643.8058,36537.61229676491,485,0.11290322580645161,0.313904956075921
Product_167,Food,D,130088.81,111818.8012,36832.39634631343,486,0.09523809523809523,0.3218637142929739
Product_196,Beauty,D,130044.19,110715.37120000001,36334.22141043391,454,0.05660377358490566,0.32449428425566923
Product_126,Clothing,A,129937.41,111067.1162,38022.00986256818,466,0.03278688524590164,0.34893471293096034
Product_117,Electronics,D,129836.83,110192.0903,33841.94479982566,506,0.07692307692307693,0.301833000099541
Product_66,Clothing,B,129813.28,108453.7095,38495.29014628376,500,0.06779661016949153,0.34171376645753976
Product_35,Electronics,A,129740.48,111950.8883,35022.4435658827,452,0.04477611940298507,0.30919122834997065
Product_43,Home,C,129728.75,110824.8867,39700.49369842526,498,0.13846153846153847,0.3337164334436636
Product_80,Home,D,129701.8,111605.3369,34658.67310601726,526,0.05714285714285714,0.31968428882571687
Product_151,Clothing,D,129700.83,110529.4495,37937.26689194747,453,0.08620689655172414,0.3445389507862051
Product_113,Electronics,C,129628.79,108747.8326,34102.98745530557,512,0.07462686567164178,0.3193399426451881
Product_55,Food,B,129607.48,112079.6199,36763.54791890506,499,0.03278688524590164,0.3234223712763634
Product_142,Food,A,129355.98,108543.8996,36666.398643434724,469,0.07017543859649122,0.3301615841996912
Product_32,Clothing,D,129347.19,109738.6266,34588.46027127702,473,0.07272727272727272,0.3235737567450064
Product_19,Home,C,129338.45,112319.7338,40196.064085879196,488,0.16129032258064516,0.364528797482386
Product_66,Electronics,A,129282.43,110660.772,38476.957811481385,495,0.06451612903225806,0.34297928764988383
Product_48,Beauty,C,129135.51000000001,110573.6585,36084.77451950265,494,0.0847457627118644,0.30843610077495126
Product_9,Beauty,A,128901.91,110084.062,36687.36733090341,458,0.10344827586206896,0.3254811283428945
Product_118,Food,D,128820.96,108610.75259999999,36871.168671408086,486,0.1111111111111111,0.3299421252988862
Product_91,Beauty,D,128750.8,110804.5485,35451.731463263786,534,0.04054054054054054,0.3193111229366625
Product_30,Clothing,A,128706.15,108870.0783,32586.568880925268,490,0.08064516129032258,0.30323499726571324
Product_161,Electronics,D,128678.36,110088.1827,38642.17768994018,522,0.030303030303030304,0.34341792077290145
Product_104,Food,C,128633.35,111108.6727,33794.16791015223,450,0.05172413793103448,0.30561087037755735
Product_149,Clothing,B,128537.55,111215.6762,33036.69276316224,469,0.08064516129032258,0.3186718269155903
Product_114,Electronics,D,128468.75,109890.1895,33546.42775239727,508,0.0625,0.3223213678301106
Product_46,Food,D,128456.04,108992.8568,35486.99183390425,496,0.125,0.319488779247439
Product_176,Clothing,A,128384.69,110428.9353,34435.69949050781,480,0.07407407407407407,0.3153593766229583
Product_129,Electronics,D,128377.57,107199.5403,35646.350490275734,449,0.12727272727272726,0.3417102309782949
Product_129,Food,A,128250.17,109721.8626,31371.669680831674,506,0.1,0.28572298426671483
Product_50,Food,D,128069.9,111310.3933,34766.94735850593,474,0.08333333333333333,0.3099117356929646
Product_94,Home,B,128041.63,109095.4512,35521.75323164595,402,0.1111111111111111,0.31976241188015636
Product_33,Beauty,B,128019.9,106895.1012,34061.1454253764,456,0.06557377049180328,0.31823563821199957
Product_193,Clothing,A,128006.06,108529.438,34919.926480789145,470,0.125,0.3385396398787876
Product_146,Home,D,127998.55,107779.5802,33741.6354152685,491,0.09375,0.3204608254695853
Product_156,Clothing,C,127960.17,109911.4033,36507.16632417464,510,0.07936507936507936,0.3393400877386134
Product_143,Clothing,A,127784.54,107972.00720000001,35523.35229792314,562,0.10144927536231885,0.33437893708531935
Product_96,Food,A,127733.59,107601.1378,37399.063848983526,458,0.09375,0.33922485073108394
Product_163,Electronics,D,127716.87,112574.2937,37474.04542170414,455,0.08771929824561403,0.3320611722480886
Product_174,Food,B,127650.11,108130.89719999999,38430.12703384545,508,0.0967741935483871,0.3536934007546447
Product_147,Beauty,A,127504.25,110507.405,35618.82419357889,551,0.08955223880597014,0.30822453266148664
Product_140,Beauty,D,127346.69,106441.8143,31244.361286008152,467,0.0967741935483871,0.30679347961644515
Product_88,Beauty,C,127338.02,107026.8392,34793.966036220314,465,0.1,0.3324103200592848
Product_13,Electronics,A,127309.66,110879.1578,36838.798849857616,479,0.14516129032258066,0.33732960666289014
Product_68,Electronics,B,127293.53,109870.6364,33970.03511683076,523,0.1076923076923077,0.30502599090949195
Product_28,Clothing,C,127174.92,108017.9565,36753.960211816375,461,0.1016949152542373,0.33744640089717
Product_153,Beauty,C,127170.79,106638.0274,34839.47032302938,473,0.07017543859649122,0.32071586416071485
Product_184,Electronics,B,127168.95,108105.5283,34137.25658516959,439,0.08196721311475409,0.32488017974338457
Product_174,Food,A,127148.53,110809.1367,35253.174016744764,479,0.06779661016949153,0.31090245056240673
Product_142,Home,A,127127.44,106718.4606,33538.76426158577,475,0.08333333333333333,0.3192351610136115
Product_124,Electronics,B,126942.33,107236.917,35785.22545773343,494,0.08196721311475409,0.32229373305437564
Product_104,Beauty,B,126858.14,109108.21830000001,34591.76425849025,443,0.08,0.33083840072818094
Product_147,Home,A,126849.46,107286.754,33251.69905645997,475,0.08333333333333333,0.3064693600441738
Product_127,Beauty,C,126761.36,109698.6825,34204.074653092015,486,0.06557377049180328,0.31936997385819327
Product_33,Clothing,A,126675.69,110023.1825,34451.15542949198,482,0.08333333333333333,0.3188834055122471
Product_27,Clothing,A,126647,109056.8893,36098.91165834253,438,0.07142857142857142,0.3241285438075625
Product_49,Home,A,126641.03,105771.5335,36069.954614040085,493,0.09523809523809523,0.32979940819765496
Product_180,Food,C,126629.49,106990.84700000001,31882.07103203945,449,0.06779661016949153,0.3063572186749098
Product_122,Home,C,126602.84,107468.69810000001,33030.1490582658,499,0.0967741935483871,0.2954786333811532
Product_89,Electronics,A,126551.06,106391.3373,36594.87700825334,465,0.05,0.34451332807497353
Product_82,Food,D,126471.7,106508.6528,36257.75165159694,407,0.06896551724137931,0.3388605516261346
Product_59,Home,D,126467.78,111949.4244,33369.3374654768,527,0.15151515151515152,0.32500525330505586
Product_29,Home,B,126457.41,108835.4728,31968.62717304723,508,0.06451612903225806,0.29748401922924017
Product_128,Home,A,126364.99,106306.2995,36384.41461685658,468,0.05454545454545454,0.34097939417958645
Product_192,Food,D,126291.59,109460.1853,33098.86410984947,434,0.10714285714285714,0.31710609907153514
Product_134,Clothing,D,126257.35,103606.0106,34807.89474591059,426,0.10344827586206896,0.31664113698142515
Product_123,Home,D,126203.38,106232.73509999999,36137.89060956535,473,0.015873015873015872,0.32626039174803145
Product_25,Clothing,B,126184.64,107209.9108,34423.9210762265,450,0.05084745762711865,0.33126621025209424
Product_77,Clothing,C,126030.25,107177.0091,36892.590365500866,503,0.0847457627118644,0.33288699112268794
Product_38,Electronics,A,125938.33,109090.0143,38911.8480880879,471,0.09375,0.34708158632711433
Product_10,Beauty,B,125760.16,109169.1682,36231.082288405945,415,0.05555555555555555,0.3369963591458238
Product_44,Beauty,C,125739.45,109475.1116,36338.64840072879,579,0.09859154929577464,0.3246233563178891
Product_125,Home,D,125726.04000000001,108970.1303,34109.766335163855,471,0.08955223880597014,0.3177695271554311
Product_156,Beauty,C,125712.02,108882.5164,35116.54905977959,527,0.07575757575757576,0.34369161762507783
Product_151,Food,A,125690.52,109329.21190000001,37314.55178100663,467,0.06666666666666667,0.33467352097592523
Product_26,Clothing,B,125613.98,106342.1228,37603.956378440205,438,0.0196078431372549,0.34530909260824194
Product_85,Clothing,D,125595.3,106805.6702,34516.21011195007,493,0.08333333333333333,0.32118370981748945
Product_137,Clothing,B,125589.94,107434.2009,34322.17873949706,476,0.08064516129032258,0.3160082197643536
Product_70,Food,C,125531.07,105611.1962,33115.55783575323,472,0.03389830508474576,0.31676381084145133
Product_25,Food,D,125473.81,105162.6849,35331.608247132106,519,0.13114754098360656,0.3373007664149042
Product_87,Clothing,A,125451.13,108542.5719,36537.51126135848,417,0.018518518518518517,0.33990822642286106
Product_111,Home,C,125426.55,105835.8517,35569.61999503035,445,0.018867924528301886,0.34454718921706506
Product_195,Electronics,C,125341.02,109640.972,38380.975695698886,454,0,0.34144334288017075
Product_194,Food,A,125321.91,106275.7497,33263.11629559187,453,0.14285714285714285,0.3088956711323277
Product_22,Home,D,125267.55,106161.4854,28481.328439586712,503,0.046875,0.2926574658023398
Product_172,Food,D,125215.22,107364.3171,37382.212628811954,481,0.05555555555555555,0.34040056262509033
Product_15,Electronics,C,125190.74,105115.0017,34871.33528599524,496,0.13846153846153847,0.3274802505418358
Product_143,Food,C,125180.25,107427.0401,38794.009400088464,468,0.06779661016949153,0.33135524869671446
Product_133,Home,D,125079.61,103411.4243,35093.36747308705,443,0.07407407407407407,0.3318054295331576
Product_179,Food,A,125069.97,107992.2525,34299.731962251644,425,0.03773584905660377,0.3150408874082204
Product_28,Electronics,A,125053.97,108030.1993,34205.20446855714,459,0.06779661016949153,0.30441143899059814
Product_98,Beauty,B,125050.05,108569.6807,34595.661694770446,417,0.10909090909090909,0.3275921450325733
Product_50,Beauty,D,125005.90000000001,106058.3157,34584.55867125378,468,0.05084745762711865,0.3291563296308603
Product_177,Clothing,A,124959.69,103567.3302,34280.67044751337,454,0.018867924528301886,0.3255317080015002
Product_170,Beauty,C,124923.78,105460.8045,37582.82465959604,436,0.017543859649122806,0.36319504888347276
Product_13,Food,C,124880.39,104887.5464,36439.57837786814,432,0.14035087719298245,0.3365960152515245
Product_0,Clothing,C,124869.82,106107.4506,35082.11650385277,435,0.05172413793103448,0.3329188074622797
Product_83,Beauty,A,124857.05,104927.9619,33955.34435774119,478,0.046875,0.3258286770197399
Product_25,Beauty,D,124817.62,110813.176,35911.71237847897,508,0.06153846153846154,0.3127179522955594
Product_62,Food,D,124802.23,109629.7822,37921.25398917555,437,0.03571428571428571,0.3362949448971107
Product_196,Home,A,124725.67,105543.506,34733.97515394049,428,0.08163265306122448,0.32462601545607056
Product_174,Clothing,C,124719.62,105312.5777,31091.34759703625,429,0.07407407407407407,0.3090623566740035
Product_2,Beauty,C,124668.73,104383.8559,33480.617219346175,470,0.15789473684210525,0.31965101255619366
Product_105,Clothing,C,124611.19,107013.7413,37660.32553255941,505,0.03636363636363636,0.35421766075023603
Product_93,Food,A,124601.83,106041.7643,33292.916249173,502,0.06557377049180328,0.31862174503524476
Product_21,Home,B,124580.19,101478.1068,34044.20256138213,500,0.16923076923076924,0.3457330702788099
Product_112,Home,C,124502.23,107469.0504,36183.469176295665,472,0.11864406779661017,0.32203509553083093
Product_183,Home,C,124249.86,104604.3533,33859.743634195824,472,0.015873015873015872,0.32341261261077275
Product_86,Electronics,C,124225.97,105946.2239,35565.91377510486,510,0.02857142857142857,0.32687881780690775
Product_54,Beauty,A,124153.75,106054.5707,34263.75532467084,460,0.06779661016949153,0.31650459901473027
Product_158,Food,B,124015.52,106611.0968,32717.641092251786,478,0.08771929824561403,0.3164276688752368
Product_9,Food,C,124001.21,105486.3069,33098.20623875182,466,0.11666666666666667,0.3161131161430336
Product_72,Home,A,123965.37000000001,102158.997,32662.312478334923,461,0.047619047619047616,0.3122487261195648
Product_139,Home,D,123921.51000000001,103797.5803,33340.35255756944,469,0.08955223880597014,0.32354597899955245
Product_37,Home,C,123857.7,108853.4084,40214.093738296506,483,0.017543859649122806,0.33178681383479325
Product_177,Clothing,D,123823.82,107256.8379,34850.424325571395,445,0.07142857142857142,0.3211879306820073
Product_153,Home,C,123796.79,106698.0227,32616.724623635117,453,0.03508771929824561,0.3067580945891796
Product_21,Clothing,B,123780.95999999999,107895.1259,36513.503777348764,381,0,0.346090179646798
Product_62,Food,A,123758.33,102601.8465,32749.65600429439,467,0.047619047619047616,0.31897480961029584
Product_16,Clothing,B,123634.74,106066.2962,36323.33736727292,421,0.1111111111111111,0.33722985626754065
Product_164,Home,D,123608.64,105322.1348,36830.03022681704,459,0.12,0.33266000996793543
Product_102,Clothing,A,123564.1,102737.3167,33152.5049178385,451,0.15384615384615385,0.32687868294831535
Product_60,Beauty,C,123494.83,106196.023,36169.94345164638,463,0.11290322580645161,0.33998267609004695
Product_45,Clothing,A,123375.62,104695.1854,32628.62102202268,462,0.12962962962962962,0.31844652054274025
Product_81,Electronics,B,123337.43,101775.5216,33985.07450116874,411,0.05660377358490566,0.32774039422880596
Product_113,Food,C,123334.52,105859.3136,36628.24327851649,477,0.05172413793103448,0.3288193434496009
Product_78,Electronics,D,123242.11,103364.0086,33229.511380705226,455,0.06349206349206349,0.32431189296322116
Product_65,Home,C,123240.86,108784.3866,33981.579700859795,472,0.0967741935483871,0.3009493128025326
Product_130,Food,A,123223.5,104945.4788,33274.13431222945,465,0.11764705882352941,0.33106543901573815
Product_16,Home,D,123199.93000000001,104571.299,32152.210120039184,458,0.05454545454545454,0.31846300089433777
Product_101,Electronics,A,123187.73999999999,103574.28229999999,37487.13840008444,443,0.125,0.3500875338635924
Product_119,Home,C,123140.66,105815.41279999999,34493.44975044164,435,0.14814814814814814,0.3149100399735898
Product_19,Clothing,C,123122.3,106971.6268,35091.340168762115,547,0.046153846153846156,0.33252808145047563
Product_67,Electronics,B,123121.95,104026.1672,34696.85092496311,469,0.08333333333333333,0.3353690061953099
Product_131,Clothing,B,123116.43000000001,103583.4861,34863.09897913558,435,0.0847457627118644,0.3359393987456897
Product_185,Electronics,C,123024.97,105572.7875,34095.07294244165,476,0.12307692307692308,0.32923346759295263
Product_60,Food,C,123024.52,104220.7453,35547.045661156335,462,0.109375,0.34097019278834273
Product_131,Home,A,123018.66,103819.6627,34749.008639028594,449,0.016666666666666666,0.3284215778110595
Product_172,Electronics,C,122900.33,100523.8337,31136.246038829067,476,0.0967741935483871,0.3125589032415487
Product_119,Beauty,C,122895.34,104233.2393,33779.58024048511,448,0.03636363636363636,0.31852398106518026
Product_62,Electronics,C,122827.34,106265.6411,33166.20504865049,436,0.06666666666666667,0.30552560247303057
Product_136,Home,A,122806.44,104496.3334,36193.298790908055,441,0.07407407407407407,0.33241246509833156
Product_33,Electronics,D,122801.71,103865.4725,35039.020511713454,416,0.05084745762711865,0.3202222522811389
Product_98,Clothing,C,122735.71,106235.64080000001,35229.72837901661,398,0.0784313725490196,0.3334916685536894
Product_103,Electronics,D,122636.03,104850.6664,33564.6149154614,438,0.031746031746031744,0.31038231187644655
Product_2,Clothing,B,122617.88,107796.7101,37036.91939964704,488,0.06153846153846154,0.3327252215065645
Product_4,Electronics,B,122574.39,104871.6906,33670.053017593025,503,0.0847457627118644,0.32959142457748314
Product_150,Electronics,D,122573.88,106592.872,32663.347721259597,484,0.06896551724137931,0.3154647460124884
Product_13,Electronics,D,122572.35,101675.0748,33388.59968884508,421,0.038461538461538464,0.3363992956108464
Product_40,Electronics,A,122533.99,101881.0288,32316.143744317484,454,0.09803921568627451,0.31284819918355583
Product_189,Food,D,122527.38,103248.6673,34982.5674710181,500,0.08333333333333333,0.34112139573392924
Product_48,Beauty,A,122492.83,104064.26640000001,34723.98582376976,490,0.08620689655172414,0.3370632340028222
Product_32,Electronics,D,122491.14,101988.6856,30891.38981931543,525,0.08064516129032258,0.3176585754918283
Product_66,Clothing,D,122439.18,103155.0339,34778.574724463826,388,0.05454545454545454,0.33686745565188164
Product_106,Home,A,122414.78,107601.6252,35282.34605344725,440,0.11864406779661017,0.3302100575981789
Product_133,Home,B,122411.85,102077.7543,33552.74753401679,466,0.05172413793103448,0.3229548532563133
Product_37,Beauty,C,122344.5,105608.6244,39046.09999392864,430,0.0392156862745098,0.35044658695000486
Product_138,Beauty,C,122314.67,104164.9694,33970.90017547526,432,0.06557377049180328,0.31318766570821793
Product_16,Beauty,A,122293.77,106312.5066,34088.760054426486,441,0.08620689655172414,0.3352474699117973
Product_77,Electronics,D,122261.24,103326.8047,31570.590153344998,548,0.06666666666666667,0.3038685544902551
Product_104,Clothing,C,122210.26,105384.1637,34524.30704092938,458,0.07272727272727272,0.3232417583215324
Product_154,Electronics,D,122205.03,103989.0525,36243.21181068584,463,0.05084745762711865,0.3363197034238506
Product_64,Beauty,B,122156.2,105135.6598,35927.157669857006,463,0.12307692307692308,0.3241425776033332
Product_199,Electronics,C,122083.58,100428.3806,29947.509596461052,466,0.11475409836065574,0.30810811801426363
Product_171,Electronics,B,122069.65,103453.7671,31488.67419507375,482,0.13043478260869565,0.3109709463458299
Product_166,Beauty,C,122056.05,101725.9471,34100.72152760017,468,0.01694915254237288,0.33789766260339693
Product_24,Clothing,B,122007.45999999999,98518.4899,31874.643457049773,452,0.038461538461538464,0.3335679885711323
Product_59,Clothing,B,121968.6,103862.47439999999,33436.288114580624,462,0.05084745762711865,0.31098883048501114
Product_113,Beauty,B,121954.85,105302.78420000001,36243.22417996463,436,0.05555555555555555,0.3429950058522622
Product_75,Home,B,121945.11,104072.4957,34654.007770416894,429,0.10714285714285714,0.32473546788213126
