source_record_id,business_id,bill_id,supplier_id,bill_date,due_date,bill_amount,amount_paid,bill_status,payment_date,currency,source_file
BILL_000013,SME_001,SME_001-BILL-00013,SUPP_SME_001_003,20/07/2025,2025-09-18,1800.73,1800.73,Paid,10/09/2025,ZAR,sme_001_accounting_export.csv
BILL_000014,SME_001,SME_001-BILL-00014,SUPP_SME_001_001,2024-08-19,18/09/2024,39579.94,27813.99,Partially Paid,17/09/2024,ZAR,sme_001_accounting_export.csv
BILL_000015,SME_001,SME_001-BILL-00015,SUPP_SME_001_003,2024-07-18,17/08/2024,25878.37,25878.37,Paid,22/07/2024,ZAR,sme_001_accounting_export.csv
BILL_000016,SME_001,SME_001-BILL-00016,SUPP_SME_001_003,07/12/2025,2026-01-06,8683.64,8683.64,Paid,21/01/2026,ZAR,sme_001_accounting_export.csv
BILL_000017,SME_001,SME_001-BILL-00017,SUPP_SME_001_008,2024-06-24,23/08/2024,33699.63,33699.63,Paid,22/07/2024,ZAR,sme_001_accounting_export.csv
BILL_000018,SME_001,SME_001-BILL-00018,SUPP_SME_001_005,2024-09-29,13/11/2024,35342.98,35342.98,Paid,14/11/2024,ZAR,sme_001_accounting_export.csv
BILL_000019,SME_001,SME_001-BILL-00019,SUPP_SME_001_010,30/05/2024,14/06/2024,23160.57,23160.57,Paid,14 Jun 2024,ZAR,sme_001_accounting_export.csv
BILL_000020,SME_001,SME_001-BILL-00020,SUPP_SME_001_002,06 Dec 2024,04 Feb 2025,35480.1,35480.1,Paid,28 Dec 2024,ZAR,sme_001_accounting_export.csv
BILL_000021,SME_001,SME_001-BILL-00021,SUPP_SME_001_002,02/11/2024,2024-12-02,1652.28,1066.92,Partially Paid,2024-12-01,ZAR,sme_001_accounting_export.csv
BILL_000022,SME_001,SME_001-BILL-00022,SUPP_SME_001_008,01 Oct 2025,16 Oct 2025,37834.09,37834.09,Paid,2025-10-31,ZAR,sme_001_accounting_export.csv
BILL_000023,SME_001,SME_001-BILL-00023,SUPP_SME_001_003,14/09/2024,13/11/2024,2759.54,2759.54,Paid,18 Nov 2024,ZAR,sme_001_accounting_export.csv
BILL_000024,SME_001,SME_001-BILL-00024,SUPP_SME_001_009,28/07/2024,11/09/2024,25874.41,25874.41,Paid,25 Sep 2024,ZAR,sme_001_accounting_export.csv
BILL_000025,SME_001,SME_001-BILL-00025,,06/08/2025,21/08/2025,14162.84,14162.84,Paid,2025-09-03,ZAR,sme_001_accounting_export.csv
BILL_000026,SME_001,SME_001-BILL-00026,SUPP_SME_001_004,24/09/2024,08/11/2024,2052.84,0.0,Unpaid,,ZAR,sme_001_accounting_export.csv
BILL_000027,SME_001,SME_001-BILL-00027,SUPP_SME_001_008,05 Aug 2025,2025-09-04,37206.89,0.0,Unpaid,,ZAR,sme_001_accounting_export.csv
BILL_000028,SME_001,SME_001-BILL-00028,SUPP_SME_001_002,2024-09-23,07/11/2024,5846.63,4378.77,Partially Paid,29/09/2024,ZAR,sme_001_accounting_export.csv
BILL_000029,SME_001,SME_001-BILL-00029,SUPP_SME_001_007,2024-11-03,03/12/2024,34222.9,18507.15,Partially Paid,2024-12-21,ZAR,sme_001_accounting_export.csv
BILL_000030,SME_001,SME_001-BILL-00030,,18/02/2024,04 Mar 2024,13548.63,0.0,Overdue,,ZAR,sme_001_accounting_export.csv
BILL_000031,SME_001,SME_001-BILL-00031,SUPP_SME_001_010,27 Aug 2025,26/10/2025,29775.98,29775.98,Paid,2025-08-31,ZAR,sme_001_accounting_export.csv
BILL_000032,SME_001,SME_001-BILL-00032,SUPP_SME_001_002,01 Apr 2025,16/05/2025,10541.72,10541.72,Paid,28 May 2025,ZAR,sme_001_accounting_export.csv
BILL_000033,SME_001,SME_001-BILL-00033,SUPP_SME_001_005,17/12/2025,2026-01-01,23545.64,23545.64,Paid,18/12/2025,ZAR,sme_001_accounting_export.csv
BILL_000034,SME_001,SME_001-BILL-00034,SUPP_SME_001_001,2025-08-18,02 Sep 2025,32082.38,32082.38,Paid,2025-09-16,ZAR,sme_001_accounting_export.csv
BILL_000035,SME_001,SME_001-BILL-00035,SUPP_SME_001_003,24/03/2024,2024-05-23,22864.1,22864.1,Paid,26 Apr 2024,ZAR,sme_001_accounting_export.csv
BILL_000036,SME_001,SME_001-BILL-00036,SUPP_SME_001_003,2025-09-27,2025-11-26,12608.83,9242.37,Partially Paid,2025-12-06,ZAR,sme_001_accounting_export.csv
BILL_000037,SME_001,SME_001-BILL-00037,SUPP_SME_001_010,21 Jul 2025,19/09/2025,9720.71,0.0,Overdue,,ZAR,sme_001_accounting_export.csv
BILL_000038,SME_001,SME_001-BILL-00038,SUPP_SME_001_007,24 May 2024,08 Jul 2024,7404.82,7404.82,Paid,23 Jun 2024,ZAR,sme_001_accounting_export.csv
BILL_000039,SME_001,SME_001-BILL-00039,SUPP_SME_001_002,08/04/2025,2025-05-23,33633.09,33633.09,Paid,07/06/2025,ZAR,sme_001_accounting_export.csv
BILL_000040,SME_001,SME_001-BILL-00040,SUPP_SME_001_004,03/10/2024,2024-11-02,24632.23,24632.23,Paid,2024-10-04,ZAR,sme_001_accounting_export.csv
BILL_000041,SME_001,SME_001-BILL-00041,SUPP_SME_001_003,23 Dec 2025,21 Feb 2026,20592.78,20592.78,Paid,07/02/2026,ZAR,sme_001_accounting_export.csv
BILL_000042,SME_001,SME_001-BILL-00042,SUPP_SME_001_007,2025-09-05,20/10/2025,10358.44,10358.44,Paid,26 Sep 2025,ZAR,sme_001_accounting_export.csv
BILL_000043,SME_001,SME_001-BILL-00043,SUPP_SME_001_008,15/09/2025,15 Oct 2025,17633.25,17633.25,Paid,17/09/2025,ZAR,sme_001_accounting_export.csv
BILL_000044,SME_001,SME_001-BILL-00044,,06/11/2025,06 Dec 2025,24992.48,24992.48,Paid,04 Dec 2025,ZAR,sme_001_accounting_export.csv
BILL_000045,SME_001,SME_001-BILL-00045,SUPP_SME_001_009,2024-04-12,27/04/2024,3339.33,3339.33,Paid,2024-04-19,ZAR,sme_001_accounting_export.csv
BILL_000046,SME_001,SME_001-BILL-00046,SUPP_SME_001_007,14 Oct 2024,2024-11-13,14748.24,14748.24,Paid,2024-10-30,ZAR,sme_001_accounting_export.csv
BILL_000047,SME_001,SME_001-BILL-00047,SUPP_SME_001_007,27/06/2025,11 Aug 2025,9960.39,5823.87,Partially Paid,2025-08-10,ZAR,sme_001_accounting_export.csv
BILL_000048,SME_001,SME_001-BILL-00048,SUPP_SME_001_007,2025-09-24,23/11/2025,26037.34,26037.34,Paid,03/11/2025,ZAR,sme_001_accounting_export.csv
BILL_000049,SME_001,SME_001-BILL-00049,SUPP_SME_001_003,24/03/2024,2024-04-23,24447.63,24447.63,Paid,30 Mar 2024,ZAR,sme_001_accounting_export.csv
BILL_000050,SME_001,SME_001-BILL-00050,SUPP_SME_001_009,2024-05-20,2024-07-19,12326.91,12326.91,Paid,26/06/2024,ZAR,sme_001_accounting_export.csv
BILL_000051,SME_002,SME_002-BILL-00051,SUPP_SME_002_010,19 Dec 2024,2025-02-02,2144.41,2144.41,Paid,11/01/2025,ZAR,sme_002_accounting_export.csv
BILL_000052,SME_002,SME_002-BILL-00052,SUPP_SME_002_004,19/02/2025,05/04/2025,7721.1,7721.1,Paid,02 Mar 2025,ZAR,sme_002_accounting_export.csv
BILL_000053,SME_002,SME_002-BILL-00053,SUPP_SME_002_007,27 Aug 2025,11/10/2025,6822.45,6822.45,Paid,25/09/2025,ZAR,sme_002_accounting_export.csv
BILL_000054,SME_002,SME_002-BILL-00054,SUPP_SME_002_006,14 Apr 2025,14 May 2025,22951.58,22951.58,Paid,2025-05-01,ZAR,sme_002_accounting_export.csv
BILL_000055,SME_002,SME_002-BILL-00055,SUPP_SME_002_009,04/12/2024,19/12/2024,7187.01,7187.01,Paid,15/12/2024,ZAR,sme_002_accounting_export.csv
BILL_000056,SME_002,SME_002-BILL-00056,SUPP_SME_002_003,2025-08-29,13/09/2025,19552.21,19552.21,Paid,14 Sep 2025,ZAR,sme_002_accounting_export.csv
BILL_000057,SME_002,SME_002-BILL-00057,SUPP_SME_002_007,11/10/2025,2025-11-10,24773.89,24773.89,Paid,2025-11-17,ZAR,sme_002_accounting_export.csv
BILL_000058,SME_002,SME_002-BILL-00058,SUPP_SME_002_010,01 Oct 2025,2025-11-30,35242.84,35242.84,Paid,2025-12-15,ZAR,sme_002_accounting_export.csv
BILL_000059,SME_002,SME_002-BILL-00059,SUPP_SME_002_008,2024-03-02,2024-04-01,10178.59,10178.59,Paid,24 Mar 2024,ZAR,sme_002_accounting_export.csv
BILL_000060,SME_002,SME_002-BILL-00060,SUPP_SME_002_003,25/09/2024,2024-10-10,7843.56,7843.56,Paid,18/10/2024,ZAR,sme_002_accounting_export.csv
BILL_000061,SME_002,SME_002-BILL-00061,SUPP_SME_002_009,31/07/2025,2025-09-14,7343.53,7343.53,Paid,21 Aug 2025,ZAR,sme_002_accounting_export.csv
BILL_000062,SME_002,SME_002-BILL-00062,SUPP_SME_002_010,25/07/2024,23/09/2024,14736.96,14736.96,Paid,2024-08-26,ZAR,sme_002_accounting_export.csv
BILL_000063,SME_002,SME_002-BILL-00063,SUPP_SME_002_009,15/11/2024,2024-12-15,26142.66,16640.5,Partially Paid,2024-11-21,ZAR,sme_002_accounting_export.csv
BILL_000064,SME_002,SME_002-BILL-00064,SUPP_SME_002_009,11 Feb 2025,13/03/2025,27038.57,27038.57,Paid,10 Mar 2025,ZAR,sme_002_accounting_export.csv
BILL_000065,SME_002,SME_002-BILL-00065,SUPP_SME_002_007,22/05/2025,21 Jun 2025,8833.0,8833.0,Paid,2025-06-25,ZAR,sme_002_accounting_export.csv
BILL_000066,SME_002,SME_002-BILL-00066,SUPP_SME_002_010,2025-11-05,05/12/2025,5683.72,5683.72,Paid,2025-11-08,ZAR,sme_002_accounting_export.csv
BILL_000067,SME_002,SME_002-BILL-00067,SUPP_SME_002_004,2025-01-28,12 Feb 2025,18222.78,0.0,Unpaid,,ZAR,sme_002_accounting_export.csv
BILL_000068,SME_002,SME_002-BILL-00068,SUPP_SME_002_004,17/01/2025,03 Mar 2025,6077.06,6077.06,Paid,20/02/2025,ZAR,sme_002_accounting_export.csv
BILL_000069,SME_002,SME_002-BILL-00069,SUPP_SME_002_004,2024-02-25,2024-03-26,32610.37,32610.37,Paid,06/04/2024,ZAR,sme_002_accounting_export.csv
BILL_000070,SME_002,SME_002-BILL-00070,SUPP_SME_002_004,20/07/2025,04/08/2025,3813.32,2318.0,Partially Paid,27 Jul 2025,ZAR,sme_002_accounting_export.csv
BILL_000071,SME_003,SME_003-BILL-00071,SUPP_SME_003_007,27/02/2025,28/04/2025,188519.14,0.0,Overdue,,ZAR,sme_003_accounting_export.csv
BILL_000072,SME_003,SME_003-BILL-00072,SUPP_SME_003_001,2025-01-21,07/03/2025,12576.68,12576.68,Paid,10 Feb 2025,ZAR,sme_003_accounting_export.csv
BILL_000073,SME_003,SME_003-BILL-00073,SUPP_SME_003_002,2024-04-23,2024-06-07,202132.06,123930.08,Partially Paid,2024-05-10,ZAR,sme_003_accounting_export.csv
BILL_000074,SME_003,SME_003-BILL-00074,SUPP_SME_003_001,25 Jan 2025,24 Feb 2025,157533.62,157533.62,Paid,18 Feb 2025,ZAR,sme_003_accounting_export.csv
BILL_000075,SME_003,SME_003-BILL-00075,SUPP_SME_003_002,2024-05-18,17/06/2024,81948.53,81948.53,Paid,31 May 2024,ZAR,sme_003_accounting_export.csv
BILL_000076,SME_003,SME_003-BILL-00076,SUPP_SME_003_001,12/03/2024,2024-04-26,102568.59,0.0,Overdue,,ZAR,sme_003_accounting_export.csv
BILL_000077,SME_003,SME_003-BILL-00077,SUPP_SME_003_007,2024-05-26,25/07/2024,169057.08,169057.08,Paid,21/07/2024,ZAR,sme_003_accounting_export.csv
BILL_000078,SME_003,SME_003-BILL-00078,SUPP_SME_003_005,15/10/2024,30 Oct 2024,48035.78,48035.78,Paid,19/10/2024,ZAR,sme_003_accounting_export.csv
BILL_000079,SME_003,SME_003-BILL-00079,SUPP_SME_003_009,2025-03-23,22 Apr 2025,222799.53,222799.53,Paid,19/04/2025,ZAR,sme_003_accounting_export.csv
BILL_000080,SME_003,SME_003-BILL-00080,SUPP_SME_003_001,2025-11-07,07 Dec 2025,121756.01,121756.01,Paid,15/12/2025,ZAR,sme_003_accounting_export.csv
BILL_000081,SME_003,SME_003-BILL-00081,SUPP_SME_003_006,2024-02-24,24 Apr 2024,190514.59,190514.59,Paid,2024-04-26,ZAR,sme_003_accounting_export.csv
BILL_000082,SME_003,SME_003-BILL-00082,SUPP_SME_003_004,10/06/2024,10/07/2024,127660.61,82818.86,Partially Paid,2024-07-08,ZAR,sme_003_accounting_export.csv
BILL_000083,SME_003,SME_003-BILL-00083,SUPP_SME_003_009,13 Jun 2024,2024-07-28,114165.25,114165.25,Paid,18 Jul 2024,ZAR,sme_003_accounting_export.csv
BILL_000084,SME_003,SME_003-BILL-00084,SUPP_SME_003_006,16 Nov 2025,31 Dec 2025,118464.66,54636.66,Partially Paid,2025-11-26,ZAR,sme_003_accounting_export.csv
BILL_000085,SME_003,SME_003-BILL-00085,SUPP_SME_003_005,24/12/2025,07/02/2026,92054.93,92054.93,Paid,15/02/2026,ZAR,sme_003_accounting_export.csv
BILL_000086,SME_003,SME_003-BILL-00086,,25/11/2024,2024-12-25,183723.04,183723.04,Paid,02/01/2025,ZAR,sme_003_accounting_export.csv
BILL_000087,SME_003,SME_003-BILL-00087,SUPP_SME_003_009,22/06/2024,06/08/2024,211845.81,156815.04,Partially Paid,22 Aug 2024,ZAR,sme_003_accounting_export.csv
BILL_000088,SME_003,SME_003-BILL-00088,,2025-01-09,23 Feb 2025,213890.37,213890.37,Paid,07 Mar 2025,ZAR,sme_003_accounting_export.csv
BILL_000089,SME_003,SME_003-BILL-00089,SUPP_SME_003_002,26 Apr 2025,25/06/2025,32044.14,32044.14,Paid,10/06/2025,ZAR,sme_003_accounting_export.csv
BILL_000090,SME_003,SME_003-BILL-00090,SUPP_SME_003_008,2025-04-07,22 Apr 2025,190819.24,110146.49,Partially Paid,06/05/2025,ZAR,sme_003_accounting_export.csv
BILL_000091,SME_003,SME_003-BILL-00091,SUPP_SME_003_005,15 Feb 2024,2024-03-16,51588.75,0.0,Unpaid,,ZAR,sme_003_accounting_export.csv
BILL_000092,SME_003,SME_003-BILL-00092,SUPP_SME_003_008,2025-04-17,16/06/2025,5020.23,0.0,Unpaid,,ZAR,sme_003_accounting_export.csv
BILL_000093,SME_003,SME_003-BILL-00093,SUPP_SME_003_002,2025-12-18,16 Feb 2026,70313.84,70313.84,Paid,19/01/2026,ZAR,sme_003_accounting_export.csv
BILL_000094,SME_003,SME_003-BILL-00094,SUPP_SME_003_002,13/01/2024,13/03/2024,74631.41,74631.41,Paid,30/01/2024,ZAR,sme_003_accounting_export.csv
BILL_000095,SME_003,SME_003-BILL-00095,SUPP_SME_003_009,07 May 2025,21 Jun 2025,202827.69,105370.62,Partially Paid,2025-05-30,ZAR,sme_003_accounting_export.csv
BILL_000096,SME_003,SME_003-BILL-00096,SUPP_SME_003_002,08/05/2024,07 Jul 2024,186114.29,186114.29,Paid,2024-07-12,ZAR,sme_003_accounting_export.csv
BILL_000097,SME_003,SME_003-BILL-00097,SUPP_SME_003_006,09 Mar 2025,08/05/2025,23001.77,23001.77,Paid,2025-05-14,ZAR,sme_003_accounting_export.csv
BILL_000098,SME_003,SME_003-BILL-00098,SUPP_SME_003_002,10/12/2025,24/01/2026,82838.4,82838.4,Paid,06 Jan 2026,ZAR,sme_003_accounting_export.csv
BILL_000099,SME_003,SME_003-BILL-00099,SUPP_SME_003_004,19/08/2025,03/10/2025,64322.36,0.0,Unpaid,,ZAR,sme_003_accounting_export.csv
BILL_000100,SME_003,SME_003-BILL-00100,SUPP_SME_003_002,21 Feb 2025,08/03/2025,149672.89,149672.89,Paid,2025-03-22,ZAR,sme_003_accounting_export.csv
BILL_000101,SME_003,SME_003-BILL-00101,SUPP_SME_003_004,2024-03-14,2024-04-13,136294.97,136294.97,Paid,05/04/2024,ZAR,sme_003_accounting_export.csv
BILL_000102,SME_003,SME_003-BILL-00102,SUPP_SME_003_007,2025-01-15,30 Jan 2025,170370.38,170370.38,Paid,2025-01-27,ZAR,sme_003_accounting_export.csv
BILL_000103,SME_003,SME_003-BILL-00103,SUPP_SME_003_008,24 Mar 2024,23/04/2024,227861.0,227861.0,Paid,21 Apr 2024,ZAR,sme_003_accounting_export.csv
BILL_000104,SME_003,SME_003-BILL-00104,SUPP_SME_003_008,17 Dec 2025,15 Feb 2026,106426.24,106426.24,Paid,26 Feb 2026,ZAR,sme_003_accounting_export.csv
BILL_000105,SME_003,SME_003-BILL-00105,SUPP_SME_003_001,13/09/2025,2025-11-12,164669.15,55719.69,Partially Paid,11/11/2025,ZAR,sme_003_accounting_export.csv
BILL_000106,SME_003,SME_003-BILL-00106,SUPP_SME_003_003,2025-10-04,19/10/2025,229751.42,229751.42,Paid,11 Oct 2025,ZAR,sme_003_accounting_export.csv
BILL_000107,SME_003,SME_003-BILL-00107,,2024-03-21,2024-05-20,136336.78,136336.78,Paid,21/04/2024,ZAR,sme_003_accounting_export.csv
BILL_000108,SME_003,SME_003-BILL-00108,SUPP_SME_003_007,2024-10-15,2024-12-14,78453.68,78453.68,Paid,17 Oct 2024,ZAR,sme_003_accounting_export.csv
BILL_000109,SME_003,SME_003-BILL-00109,SUPP_SME_003_006,02 Apr 2024,01/06/2024,101919.24,101919.24,Paid,2024-04-05,ZAR,sme_003_accounting_export.csv
BILL_000110,SME_003,SME_003-BILL-00110,SUPP_SME_003_001,01/02/2025,2025-02-16,189144.19,189144.19,Paid,06/02/2025,ZAR,sme_003_accounting_export.csv
BILL_000111,SME_003,SME_003-BILL-00111,SUPP_SME_003_006,03/03/2025,02 May 2025,180562.77,180562.77,Paid,18 Apr 2025,ZAR,sme_003_accounting_export.csv
BILL_000112,SME_003,SME_003-BILL-00112,,23/10/2024,2024-11-22,187607.02,100252.84,Partially Paid,01 Nov 2024,ZAR,sme_003_accounting_export.csv
BILL_000113,SME_003,SME_003-BILL-00113,,2024-02-06,07/03/2024,186337.63,69262.87,Partially Paid,24 Feb 2024,ZAR,sme_003_accounting_export.csv
BILL_000114,SME_003,SME_003-BILL-00114,SUPP_SME_003_006,2024-06-27,26 Aug 2024,230273.81,230273.81,Paid,15 Aug 2024,ZAR,sme_003_accounting_export.csv
BILL_000115,SME_003,SME_003-BILL-00115,SUPP_SME_003_003,2024-08-22,2024-10-06,191473.28,64409.43,Partially Paid,01 Oct 2024,ZAR,sme_003_accounting_export.csv
BILL_000116,SME_003,SME_003-BILL-00116,SUPP_SME_003_007,2024-01-04,04 Mar 2024,214148.4,129060.73,Partially Paid,2024-03-23,ZAR,sme_003_accounting_export.csv
BILL_000117,SME_003,SME_003-BILL-00117,SUPP_SME_003_002,29 Jul 2025,2025-09-12,144280.49,144280.49,Paid,2025-09-09,ZAR,sme_003_accounting_export.csv
BILL_000118,SME_003,SME_003-BILL-00118,SUPP_SME_003_010,2025-11-02,2025-12-02,161754.5,161754.5,Paid,08 Nov 2025,ZAR,sme_003_accounting_export.csv
BILL_000119,SME_003,SME_003-BILL-00119,SUPP_SME_003_010,04/02/2025,05/04/2025,241994.43,241994.43,Paid,2025-03-06,ZAR,sme_003_accounting_export.csv
BILL_000120,SME_003,SME_003-BILL-00120,SUPP_SME_003_006,03 Jun 2025,18 Jun 2025,217834.62,217834.62,Paid,09/06/2025,ZAR,sme_003_accounting_export.csv
BILL_000121,SME_003,SME_003-BILL-00121,SUPP_SME_003_001,10 Dec 2024,2024-12-25,194785.34,194785.34,Paid,01 Jan 2025,ZAR,sme_003_accounting_export.csv
BILL_000122,SME_003,SME_003-BILL-00122,SUPP_SME_003_008,10/11/2025,2025-12-25,172007.63,0.0,Unpaid,,ZAR,sme_003_accounting_export.csv
BILL_000123,SME_003,SME_003-BILL-00123,SUPP_SME_003_003,19 Dec 2024,18/01/2025,90912.52,90912.52,Paid,26 Dec 2024,ZAR,sme_003_accounting_export.csv
BILL_000124,SME_003,SME_003-BILL-00124,SUPP_SME_003_008,2024-12-17,16 Jan 2025,137935.14,69201.53,Partially Paid,04 Feb 2025,ZAR,sme_003_accounting_export.csv
BILL_000125,SME_003,SME_003-BILL-00125,SUPP_SME_003_006,16/12/2024,31 Dec 2024,15671.79,10543.2,Partially Paid,13/01/2025,ZAR,sme_003_accounting_export.csv
BILL_000126,SME_003,SME_003-BILL-00126,SUPP_SME_003_007,22/07/2025,2025-08-06,105209.35,105209.35,Paid,25/07/2025,ZAR,sme_003_accounting_export.csv
BILL_000127,SME_003,SME_003-BILL-00127,SUPP_SME_003_010,29 Sep 2025,2025-11-13,29750.31,17006.31,Partially Paid,05 Nov 2025,ZAR,sme_003_accounting_export.csv
BILL_000128,SME_003,SME_003-BILL-00128,SUPP_SME_003_005,29 May 2025,28/06/2025,182702.6,0.0,Unpaid,,ZAR,sme_003_accounting_export.csv
BILL_000129,SME_003,SME_003-BILL-00129,SUPP_SME_003_007,28 Mar 2025,2025-05-27,223294.77,223294.77,Paid,10/06/2025,ZAR,sme_003_accounting_export.csv
BILL_000130,SME_003,SME_003-BILL-00130,SUPP_SME_003_003,2024-12-26,24 Feb 2025,45172.58,45172.58,Paid,09/02/2025,ZAR,sme_003_accounting_export.csv
BILL_000131,SME_003,SME_003-BILL-00131,SUPP_SME_003_001,2024-04-21,05 Jun 2024,62929.48,62929.48,Paid,06/06/2024,ZAR,sme_003_accounting_export.csv
BILL_000132,SME_003,SME_003-BILL-00132,SUPP_SME_003_005,29 Jul 2025,12/09/2025,214531.27,214531.27,Paid,17/08/2025,ZAR,sme_003_accounting_export.csv
BILL_000133,SME_003,SME_003-BILL-00133,SUPP_SME_003_009,06/05/2025,05/07/2025,147286.38,49277.74,Partially Paid,10 Jun 2025,ZAR,sme_003_accounting_export.csv
BILL_000134,SME_003,SME_003-BILL-00134,SUPP_SME_003_010,2024-12-14,29 Dec 2024,147900.6,108038.0,Partially Paid,17/01/2025,ZAR,sme_003_accounting_export.csv
BILL_000135,SME_003,SME_003-BILL-00135,SUPP_SME_003_004,31 Aug 2025,15 Oct 2025,141593.34,89935.34,Partially Paid,07 Oct 2025,ZAR,sme_003_accounting_export.csv
BILL_000136,SME_003,SME_003-BILL-00136,SUPP_SME_003_010,08/01/2025,2025-02-07,56128.67,56128.67,Paid,2025-01-09,ZAR,sme_003_accounting_export.csv
BILL_000137,SME_003,SME_003-BILL-00137,SUPP_SME_003_006,14 Oct 2025,2025-12-13,62339.15,62339.15,Paid,03/12/2025,ZAR,sme_003_accounting_export.csv
BILL_000138,SME_003,SME_003-BILL-00138,SUPP_SME_003_003,2024-02-05,2024-04-05,237511.49,237511.49,Paid,02 Apr 2024,ZAR,sme_003_accounting_export.csv
BILL_000139,SME_003,SME_003-BILL-00139,SUPP_SME_003_002,2025-12-30,2026-01-29,181420.6,181420.6,Paid,04 Feb 2026,ZAR,sme_003_accounting_export.csv
BILL_000140,SME_003,SME_003-BILL-00140,SUPP_SME_003_004,24/09/2025,2025-11-23,24427.75,24427.75,Paid,2025-11-25,ZAR,sme_003_accounting_export.csv
BILL_000141,SME_004,SME_004-BILL-00141,SUPP_SME_004_007,23/07/2024,21/09/2024,9306.06,9306.06,Paid,25/08/2024,ZAR,sme_004_accounting_export.csv
BILL_000142,SME_004,SME_004-BILL-00142,SUPP_SME_004_001,01/01/2024,01/03/2024,25271.06,25271.06,Paid,16 Mar 2024,ZAR,sme_004_accounting_export.csv
BILL_000143,SME_004,SME_004-BILL-00143,SUPP_SME_004_008,29/11/2024,2025-01-28,11696.88,7925.19,Partially Paid,28/12/2024,ZAR,sme_004_accounting_export.csv
BILL_000144,SME_004,SME_004-BILL-00144,SUPP_SME_004_005,23 Sep 2024,22 Nov 2024,10443.48,4078.72,Partially Paid,2024-10-29,ZAR,sme_004_accounting_export.csv
BILL_000145,SME_004,SME_004-BILL-00145,SUPP_SME_004_009,27/08/2025,11 Oct 2025,8492.75,8492.75,Paid,2025-09-24,ZAR,sme_004_accounting_export.csv
BILL_000146,SME_004,SME_004-BILL-00146,SUPP_SME_004_002,2025-11-07,2025-11-22,7836.21,4175.66,Partially Paid,28/11/2025,ZAR,sme_004_accounting_export.csv
BILL_000147,SME_004,SME_004-BILL-00147,SUPP_SME_004_007,05/08/2024,2024-08-20,24726.56,24726.56,Paid,24/08/2024,ZAR,sme_004_accounting_export.csv
BILL_000148,SME_004,SME_004-BILL-00148,SUPP_SME_004_009,2024-10-05,04/12/2024,36281.03,25489.74,Partially Paid,2024-10-14,ZAR,sme_004_accounting_export.csv
BILL_000149,SME_004,SME_004-BILL-00149,SUPP_SME_004_008,02 Apr 2024,2024-05-17,14764.71,14764.71,Paid,2024-05-26,ZAR,sme_004_accounting_export.csv
BILL_000150,SME_004,SME_004-BILL-00150,SUPP_SME_004_001,27/01/2024,2024-02-11,5299.59,0.0,Unpaid,,ZAR,sme_004_accounting_export.csv
BILL_000151,SME_004,SME_004-BILL-00151,SUPP_SME_004_004,15 Jun 2025,30/07/2025,5409.82,5409.82,Paid,14 Jul 2025,ZAR,sme_004_accounting_export.csv
BILL_000152,SME_004,SME_004-BILL-00152,SUPP_SME_004_004,23 May 2025,07 Jul 2025,37380.74,37380.74,Paid,2025-06-18,ZAR,sme_004_accounting_export.csv
